Iteration,Blue_Path_Total_Gaps_Sum,Positions_1_Min_Total_Gaps_Sum,Positions_5_Min_Total_Gaps_Sum,Blue_Path_Residency_Time,Positions_1_Min_Residency_Time,Positions_5_Min_Residency_Time
765,27803,72,579,58597,861,217
766,27091,69,639,59309,801,220
767,0,0,0,86400,1440,289
768,29840,101,511,56560,929,188
769,57265,195,969,29135,471,94
770,2076,0,47,84324,1393,289
771,52299,170,945,34101,495,119
772,16804,69,362,69596,1078,220
773,43056,155,846,43344,594,134
774,15988,42,346,70412,1094,247
775,35575,124,654,50825,786,165
776,71557,230,1230,14843,210,59
777,37518,126,663,48882,777,163
778,32786,113,612,53614,828,176
779,3469,0,124,82931,1316,289
780,30737,96,598,55663,842,193
781,29164,101,604,57236,836,188
782,61317,205,1023,25083,417,84
783,33975,116,583,52425,857,173
784,31650,112,624,54750,816,177
785,39624,133,671,46776,769,156
786,57257,182,1060,29143,380,107
787,0,0,7,86400,1433,289
788,47973,160,831,38427,609,129
789,69144,231,1160,17256,280,58
790,9509,0,280,76891,1160,289
791,42023,129,879,44377,561,160
792,0,0,6,86400,1434,289
793,0,0,14,86400,1426,289
794,11716,32,297,74684,1143,257
795,46593,150,786,39807,654,139
796,46985,171,892,39415,548,118
797,38093,118,726,48307,714,171
798,0,0,54,86400,1386,289
799,68936,208,1167,17464,273,81
800,55509,176,968,30891,472,113
801,12251,34,329,74149,1111,255
802,49521,172,847,36879,593,117
803,69118,232,1153,17282,287,57
804,43933,147,767,42467,673,142
805,27184,95,509,59216,931,194
806,39918,137,704,46482,736,152
807,0,0,111,86400,1329,289
808,41386,147,751,45014,689,142
809,0,0,0,86400,1440,289
810,14838,36,301,71562,1139,253
811,29255,98,615,57145,825,191
812,3239,0,75,83161,1365,289
813,47948,167,967,38452,473,122
814,76621,256,1288,9779,152,33
815,0,0,0,86400,1440,289
816,18523,66,340,67877,1100,223
817,9841,0,355,76559,1085,289
